"competênciamov","região","uf","município","seção","subclasse","saldomovimentação","cbo2002ocupação","categoria","graudeinstrução","idade","horascontratuais","raçacor","sexo","tipoempregador","tipoestabelecimento","tipomovimentação","tipodedeficiência","indtrabintermitente","indtrabparcial","salário","tamestabjan","indicadoraprendiz","origemdainformação","competênciadec","indicadordeforadoprazo","unidadesaláriocódigo","valorsaláriofixo"
202304,3,31,314610,"P",8599601,1,333105,101,7,45,44,3,3,0,1,97,0,0,0,2013.5,3,0,1,202304,0,5,2013.5
202304,3,31,314610,"I",5611201,-1,513405,101,7,23,44,2,1,0,1,40,0,0,0,1388,3,0,1,202304,0,5,1388
202304,3,31,314610,"F",4221902,1,214005,101,9,27,44,6,1,0,1,97,0,0,0,7250,7,0,1,202304,0,5,7250
202304,3,31,314610,"F",4330499,-1,717020,101,5,46,44,3,1,0,1,43,0,0,0,1302,4,0,1,202304,0,5,1302
202304,3,31,314610,"F",4211101,1,782305,101,7,23,44,3,1,0,1,97,0,0,0,1827.81,7,0,1,202304,0,5,1827.81
202304,3,31,314610,"F",4211101,1,782510,101,6,43,44,3,1,0,1,97,0,0,0,2448.58,7,0,1,202304,0,5,2448.58
202304,3,31,314610,"C",3319800,1,811710,101,7,36,44,1,1,0,1,97,0,0,0,3020.6,7,0,1,202304,0,1,13.73
202304,3,31,314610,"F",4211101,-1,951105,101,7,29,44,1,1,0,4,40,0,0,0,1872,1,0,1,202304,0,5,1872
202304,3,31,314610,"G",4711302,1,514320,101,6,23,44,2,3,0,1,97,0,0,0,1415.87,7,0,1,202304,0,5,1415.87
202304,3,31,314610,"I",5510801,1,422120,101,7,25,44,1,1,0,1,97,0,0,1,1599.7,6,0,1,202304,0,5,1599.7
202304,3,31,314610,"P",8599605,-1,514320,101,7,44,25,6,3,0,1,40,0,0,0,756.25,2,0,1,202304,0,1,6.05
202304,3,31,314610,"F",4211101,1,717020,101,7,27,44,3,1,0,4,97,0,0,0,1381.6,1,0,1,202304,0,5,1381.6
202304,3,31,314610,"F",4313400,-1,312320,101,7,34,44,1,1,0,4,31,0,0,0,5192.81,6,0,1,202304,0,5,5192.81
202304,3,31,314610,"C",2330305,-1,782510,101,7,24,44,6,1,0,1,40,0,0,0,2501.81,6,0,1,202304,0,5,2501.81
202304,3,31,314610,"C",3312102,1,351605,101,7,63,44,1,1,0,1,97,0,0,0,4011,1,0,1,202304,0,5,4011
202304,3,31,314610,"I",5611203,1,513435,101,7,35,36,3,3,0,1,97,0,0,0,1375.59,3,0,1,202304,0,5,1375.59
202304,3,31,314610,"F",4299599,1,715210,101,7,55,44,6,1,0,4,97,0,0,0,1890.5,1,0,1,202304,0,5,1890.5
202304,3,31,314610,"C",2441501,1,724315,101,7,29,44,3,1,0,1,97,0,0,0,1834.8,7,0,1,202304,0,5,1834.8
202304,3,31,314610,"F",4211101,1,717020,101,7,28,44,3,3,0,1,97,0,0,0,1391.84,7,0,1,202304,0,5,1391.84
202304,3,31,314610,"F",4399199,1,717020,101,7,32,47.33,1,1,0,4,97,0,0,0,1381.6,1,0,1,202304,0,5,1381.6
202304,3,31,314610,"Q",8610102,1,324205,101,9,23,44,1,3,0,1,97,0,0,0,1908.15,8,0,1,202304,0,5,1908.15
202304,3,31,314610,"F",4213800,1,715505,101,6,23,44,3,1,0,1,97,0,0,0,2169.2,9,0,1,202304,0,5,2169.2
202304,3,31,314610,"N",8299799,1,521135,101,7,56,36,6,1,0,1,97,0,0,0,1408.59,1,0,1,202304,0,5,1408.59
202304,3,31,314610,"H",4921301,1,919110,101,7,28,44,3,1,0,1,97,0,0,0,1302,6,0,1,202304,0,5,1302
202304,3,31,314610,"B",710301,1,351605,101,80,35,40,1,3,0,1,97,0,0,0,4735,10,0,1,202304,0,5,4735
