"competênciamov","região","uf","município","seção","subclasse","saldomovimentação","cbo2002ocupação","categoria","graudeinstrução","idade","horascontratuais","raçacor","sexo","tipoempregador","tipoestabelecimento","tipomovimentação","tipodedeficiência","indtrabintermitente","indtrabparcial","salário","tamestabjan","indicadoraprendiz","origemdainformação","competênciadec","indicadordeforadoprazo","unidadesaláriocódigo","valorsaláriofixo"
202308,3,31,314610,"C",3319800,1,351605,101,7,41,"44",1,1,0,1,97,0,0,0,"3800",7,0,1,202308,0,5,"3800"
202308,3,31,314610,"F",4211101,1,991105,101,5,32,"44",3,1,0,4,97,0,0,0,"1381.6",1,0,1,202308,0,5,"1381.6"
202308,3,31,314610,"C",2330305,-1,914405,101,5,24,"44",6,1,0,1,31,0,0,0,"2100",6,0,1,202308,0,5,"2100"
202308,3,31,314610,"B",710301,-1,954125,103,7,22,"44",2,3,0,1,43,0,0,9,"620.27002",9,1,1,202308,0,5,"620.27002"
202308,3,31,314610,"F",4211101,-1,715125,101,7,50,"44",3,1,0,4,31,0,0,0,"3229",1,0,1,202308,0,5,"3229"
202308,3,31,314610,"I",5611201,-1,513405,101,7,19,"44",1,1,0,1,31,0,0,0,"1480",5,0,1,202308,0,5,"1480"
202308,3,31,314610,"G",4721102,1,421125,101,6,21,"8",6,3,0,1,97,0,0,0,"1365.25",5,0,1,202308,0,5,"1365.25"
202308,3,31,314610,"H",4930201,1,782510,101,7,45,"44",6,1,0,1,97,0,0,0,"1938.8101",6,0,1,202308,0,5,"1938.8101"
202308,3,31,314610,"F",4213800,-1,391120,101,7,27,"44",3,3,0,1,31,0,0,0,"4500",9,0,1,202308,0,5,"4500"
202308,3,31,314610,"F",4120400,1,717020,101,7,19,"44",3,1,0,1,97,0,0,0,"1381.6",5,0,1,202308,0,5,"1381.6"
202308,3,31,314610,"G",4712100,-1,848510,101,5,29,"44",6,1,0,1,31,0,0,0,"1900",5,0,1,202308,0,5,"1900"
202308,3,31,314610,"P",8599699,-1,515305,101,9,54,"44",6,3,0,1,40,0,0,0,"6639.6001",4,0,1,202308,0,1,"30.18"
202308,3,31,314610,"G",4711302,1,521140,101,6,18,"44",3,3,0,1,97,0,0,0,"1380",7,0,1,202308,0,5,"1380"
202308,3,31,314610,"I",5611205,1,513205,101,7,52,"44",6,3,0,1,97,0,0,0,"1650",3,0,1,202308,0,1,"7.5"
202308,3,31,314610,"C",2511000,1,313130,101,7,22,"36",1,1,0,1,97,0,0,0,"2800",1,0,1,202308,0,5,"2800"
202308,3,31,314610,"G",4530703,1,911120,101,7,28,"44",2,1,0,1,97,0,0,0,"2410.5",4,0,1,202308,0,5,"2410.5"
202308,3,31,314610,"F",4213800,-1,710205,101,9,35,"44",1,1,0,1,31,0,0,0,"3700",9,0,1,202308,0,5,"3700"
202308,3,31,314610,"C",2441501,-1,862120,101,7,44,"44",2,1,0,1,31,0,0,0,"14.68",7,0,1,202308,0,5,"14.68"
