"competênciamov","região","uf","município","seção","subclasse","saldomovimentação","cbo2002ocupação","categoria","graudeinstrução","idade","horascontratuais","raçacor","sexo","tipoempregador","tipoestabelecimento","tipomovimentação","tipodedeficiência","indtrabintermitente","indtrabparcial","salário","tamestabjan","indicadoraprendiz","origemdainformação","competênciadec","indicadordeforadoprazo","unidadesaláriocódigo","valorsaláriofixo"
202212,3,31,314610,"Q",8800600,-1,311105,101,7,31,40,3,1,0,1,31,0,0,0,2645.94,8,0,1,202212,0,5,2645.94
202212,3,31,314610,"I",5510801,-1,622010,101,7,42,24,6,1,0,1,40,0,0,0,900,2,0,1,202212,0,5,900
202212,3,31,314610,"G",4722902,1,513405,101,7,18,16,6,1,0,1,97,0,0,0,1388,3,0,1,202212,0,5,1388
202212,3,31,314610,"C",2441501,-1,911305,101,6,26,44,3,1,0,1,31,0,0,0,1850.2,8,0,1,202212,0,1,8.41
202212,3,31,314610,"A",151202,1,621005,101,7,24,44,3,1,2,3,97,0,0,0,1212,99,0,1,202212,0,5,1212
202212,3,31,314610,"G",4771701,-1,521130,101,2,42,44,6,1,0,1,31,0,0,0,1212,3,0,1,202212,0,5,1212
202212,3,31,314610,"G",4712100,-1,513435,101,7,29,44,6,3,0,1,31,0,0,0,1212,4,0,1,202212,0,5,1212
202212,3,31,314610,"F",4399101,-1,351605,101,7,28,44,6,3,0,1,40,0,0,0,2600,5,0,1,202212,0,5,2600
202212,3,31,314610,"I",5510801,1,411005,103,6,16,20,3,1,0,1,97,0,0,0,569.36,6,1,1,202212,0,5,569.36
202212,3,31,314610,"B",710301,1,784205,101,7,22,41.25,3,3,0,1,97,0,0,0,1212,9,0,1,202212,0,5,1212
202212,3,31,314610,"F",4120400,1,715505,101,7,29,44,2,1,0,1,97,0,0,0,1786.46,1,0,1,202212,0,5,1786.46
202212,3,31,314610,"F",4120400,1,782510,101,7,24,44,1,1,0,1,97,0,0,0,2400,6,0,1,202212,0,5,2400
202212,3,31,314610,"G",4789099,1,411005,101,7,22,44,4,3,0,1,97,0,0,0,1318.04,3,0,1,202212,0,5,1318.04
202212,3,31,314610,"F",4120400,-1,715210,101,5,33,44,6,1,0,1,31,0,0,0,1944.42,9,0,1,202212,0,5,1944.42
202212,3,31,314610,"G",4711302,-1,521125,101,7,22,44,2,1,0,1,40,0,0,0,1349,7,0,1,202212,0,5,1349
202212,3,31,314610,"F",4211101,1,991105,101,7,28,44,3,1,0,4,97,0,0,0,1284.8,7,0,1,202212,0,5,1284.8
202212,3,31,314610,"F",4120400,1,715115,101,2,60,44,3,1,0,1,97,0,0,0,2000,6,0,1,202212,0,5,2000
202212,3,31,314610,"F",4120400,1,717020,101,7,19,44,3,1,0,1,97,0,0,0,1361.08,9,0,1,202212,0,5,1361.08
202212,3,31,314610,"F",4120400,-1,715505,101,4,24,44,3,1,0,1,31,0,0,0,1761.25,9,0,1,202212,0,5,1761.25
202212,3,31,314610,"F",4120400,-1,717020,101,2,42,44,6,1,0,1,31,0,0,0,1361.08,9,0,1,202212,0,5,1361.08
202212,3,31,314610,"B",710301,1,919110,101,7,37,44,3,1,0,1,97,0,0,0,6066.06,9,0,1,202212,0,5,6066.06
202212,3,31,314610,"C",2441501,-1,810110,101,6,58,44,3,1,0,1,31,0,0,0,7471.2,8,0,1,202212,0,1,33.96
202212,3,31,314610,"F",4120400,-1,951105,103,7,18,15,1,3,0,1,43,0,0,0,606,2,1,1,202212,0,5,606
202212,3,31,314610,"F",4211101,-1,782145,101,5,24,44,3,1,0,1,31,0,0,0,1381.6,1,0,1,202212,0,5,1381.6
202212,3,31,314610,"N",8020001,-1,951305,101,7,24,44,6,1,0,1,40,0,0,0,1318.04,3,0,1,202212,0,5,1318.04
202212,3,31,314610,"G",4744002,1,782510,101,7,34,44,1,1,0,1,97,0,0,0,1610.35,2,0,1,202212,0,5,1610.35
202212,3,31,314610,"F",4211101,-1,717020,101,6,19,44,3,1,0,4,31,0,0,0,1381.6,1,0,1,202212,0,5,1381.6
202212,3,31,314610,"F",4120400,1,411005,101,7,19,44,3,3,0,1,97,0,0,0,1381.6,1,0,1,202212,0,5,1381.6
202212,3,31,314610,"G",4731800,1,521135,101,7,30,44,6,1,0,1,97,0,0,0,1428.53,5,0,1,202212,0,5,1428.53
202212,3,31,314610,"B",899199,-1,514320,101,6,42,44,6,1,0,1,40,0,0,0,1487,6,0,1,202212,0,5,1487
202212,3,31,314610,"G",4711302,1,521125,101,5,18,44,3,1,0,1,97,0,0,0,1318.07,7,0,1,202212,0,5,1318.07
