"competênciamov","região","uf","município","seção","subclasse","saldomovimentação","cbo2002ocupação","categoria","graudeinstrução","idade","horascontratuais","raçacor","sexo","tipoempregador","tipoestabelecimento","tipomovimentação","tipodedeficiência","indtrabintermitente","indtrabparcial","salário","tamestabjan","indicadoraprendiz","origemdainformação","competênciadec","indicadordeforadoprazo","unidadesaláriocódigo","valorsaláriofixo"
202302,3,31,314610,"F",4213800,-1,782510,101,7,27,44,2,1,0,1,31,0,0,0,2309.47,1,0,1,202302,0,5,2309.47
202302,3,31,314610,"H",4930202,1,782510,101,6,33,44,1,1,0,1,97,0,0,0,1829.07,1,0,1,202302,0,5,1829.07
202302,3,31,314610,"F",4120400,1,214205,101,9,31,44,1,1,0,1,97,0,0,9,5500,1,0,1,202302,0,5,5500
202302,3,31,314610,"Q",8630504,-1,322415,101,7,33,40,1,3,0,1,31,0,0,0,3484,1,0,1,202302,0,5,3484
202302,3,31,314610,"F",4399103,-1,717020,101,7,50,44,3,1,0,4,43,0,0,0,1418.62,1,0,1,202302,0,5,1418.62
202302,3,31,314610,"G",4722902,-1,513505,101,7,19,48,6,3,0,1,43,0,0,0,1338,1,0,1,202302,0,5,1338
202302,3,31,314610,"H",4921301,1,782410,101,7,21,44,2,1,0,1,97,0,0,0,2301.64,1,0,1,202302,0,5,2301.64
202302,3,31,314610,"G",4711302,1,421125,101,7,19,44,2,3,0,1,97,0,0,0,1349,1,0,1,202302,0,5,1349
202302,3,31,314610,"F",4213800,-1,717020,101,7,22,44,3,1,0,1,31,0,0,0,1361.08,1,0,1,202302,0,5,1361.08
202302,3,31,314610,"F",4213800,-1,351605,101,7,33,44,2,1,0,1,31,0,0,0,3500,1,0,1,202302,0,5,3500
202302,3,31,314610,"F",4213800,-1,717020,101,4,34,44,2,1,0,1,31,0,0,0,1361.08,1,0,1,202302,0,5,1361.08
202302,3,31,314610,"Q",8640202,1,324205,101,9,30,36,6,3,0,1,97,0,0,0,1576,1,0,1,202302,0,5,1576
202302,3,31,314610,"G",4755502,-1,521140,101,7,35,44,6,3,0,1,43,0,0,0,1318.04,1,0,1,202302,0,5,1318.04
202302,3,31,314610,"G",4711302,1,421125,101,7,21,44,1,3,0,1,97,0,0,0,1349,1,0,1,202302,0,5,1349
202302,3,31,314610,"B",710301,-1,911305,101,3,30,44,2,1,0,1,31,0,0,0,1881,1,0,1,202302,0,5,1881
202302,3,31,314610,"G",4711302,-1,521110,103,7,19,20,3,3,0,1,43,0,0,0,612,1,1,1,202302,0,5,612
202302,3,31,314610,"F",4120400,-1,223505,101,9,34,44,3,1,0,4,31,0,0,0,3000,1,0,1,202302,0,5,3000
202302,3,31,314610,"B",710301,-1,414215,101,9,33,44,6,3,0,1,40,0,0,0,2514,1,0,1,202302,0,5,2514
202302,3,31,314610,"F",4213800,-1,715210,101,5,28,44,6,1,0,1,31,0,0,0,1944.42,1,0,1,202302,0,5,1944.42
202302,3,31,314610,"F",4211101,1,715110,101,7,29,44,3,1,0,4,97,0,0,0,1450,1,0,1,202302,0,5,1450
202302,3,31,314610,"Q",8800600,-1,513315,101,7,40,40,2,3,0,1,40,0,0,0,1958.92,1,0,1,202302,0,5,1958.92
202302,3,31,314610,"C",2391503,1,862150,101,7,29,44,3,3,0,1,97,0,0,0,1427.8,1,0,1,202302,0,1,6.49
202302,3,31,314610,"F",4213800,-1,710205,101,7,43,44,3,1,0,1,31,0,0,0,4300,1,0,1,202302,0,5,4300
202302,3,31,314610,"I",5510801,-1,513315,101,7,25,44,3,3,0,1,40,0,0,0,1576.2,1,0,1,202302,0,5,1576.2
202302,3,31,314610,"F",4213800,-1,717020,101,5,41,44,2,1,0,1,43,0,0,0,1361.08,1,0,1,202302,0,5,1361.08
202302,3,31,314610,"F",4211101,-1,717020,101,2,19,44,3,1,0,4,31,0,0,0,1381.6,1,0,1,202302,0,5,1381.6
202302,3,31,314610,"I",5611201,-1,513205,101,7,60,44,6,3,0,1,31,0,0,0,1907.84,1,0,1,202302,0,5,1907.84
202302,3,31,314610,"G",4520005,1,782405,101,7,48,44,3,1,0,1,97,0,0,0,2500,1,0,1,202302,0,5,2500
202302,3,31,314610,"G",4789004,1,521110,101,3,59,44,6,1,0,1,97,0,0,0,1318.04,1,0,1,202302,0,5,1318.04
202302,3,31,314610,"F",4211101,-1,717020,101,4,21,44,6,1,0,4,31,0,0,0,1381.6,1,0,1,202302,0,5,1381.6
202302,3,31,314610,"G",4789099,1,513435,101,7,23,44,3,3,0,1,97,0,0,0,1318,1,0,1,202302,0,5,1318
202302,3,31,314610,"F",4211101,1,715125,101,3,49,44,3,1,0,4,97,0,0,0,3058,1,0,1,202302,0,5,3058
202302,3,31,314610,"Q",8610102,1,223605,101,9,25,44,1,1,0,1,97,0,0,0,3557.75,1,0,1,202302,0,5,3557.75
202302,3,31,314610,"F",4120400,1,715210,101,7,34,44,3,1,0,1,97,0,0,0,1922.98,1,0,1,202302,0,5,1922.98
202302,3,31,314610,"F",4211101,1,782510,101,2,48,44,3,1,0,4,97,0,0,0,2502,1,0,1,202302,0,5,2502
202302,3,31,314610,"F",4120400,1,717020,101,7,52,44,3,1,0,1,97,0,0,0,1324.8,1,0,1,202302,0,5,1324.8
202302,3,31,314610,"G",4744001,1,521110,101,7,43,44,6,3,0,1,97,0,0,0,1318.04,1,0,1,202302,0,5,1318.04
202302,3,31,314610,"F",4211101,1,782410,101,6,40,44,3,1,0,1,97,0,0,0,2202.76,1,0,1,202302,0,5,2202.76
202302,3,31,314610,"F",4211101,-1,717020,101,2,22,44,2,1,0,4,31,0,0,0,1542,1,0,1,202302,0,5,1542
202302,3,31,314610,"C",1113502,1,841710,101,8,30,44,3,1,0,1,97,0,0,0,2150,1,0,1,202302,0,5,2150
202302,3,31,314610,"F",4211101,1,782305,101,6,22,44,3,1,0,4,97,0,0,0,1547,1,0,1,202302,0,5,1547
202302,3,31,314610,"C",2412100,1,913110,103,7,16,24,6,1,0,1,97,0,0,0,660,1,1,1,202302,0,5,660
202302,3,31,314610,"C",3321000,1,724315,101,5,33,44,6,1,0,1,97,0,0,0,2140,1,0,1,202302,0,5,2140
202302,3,31,314610,"N",8299799,1,521135,101,7,21,36,6,3,0,1,97,0,0,0,1408.59,1,0,1,202302,0,5,1408.59
202302,3,31,314610,"C",3321000,1,911305,101,6,36,44,6,3,0,1,97,0,0,0,2140,1,0,1,202302,0,5,2140
202302,3,31,314610,"F",4120400,1,717020,101,5,23,44,3,1,0,4,97,0,0,0,1381.6,1,0,1,202302,0,5,1381.6
202302,3,31,314610,"F",4213800,-1,716610,101,7,45,44,6,1,0,1,31,0,0,0,1944.42,1,0,1,202302,0,5,1944.42
202302,3,31,314610,"F",4330499,-1,715210,101,5,22,44,3,1,0,1,31,0,0,0,1622,1,0,1,202302,0,5,1622
