"competênciamov","região","uf","município","seção","subclasse","saldomovimentação","cbo2002ocupação","categoria","graudeinstrução","idade","horascontratuais","raçacor","sexo","tipoempregador","tipoestabelecimento","tipomovimentação","tipodedeficiência","indtrabintermitente","indtrabparcial","salário","tamestabjan","indicadoraprendiz","origemdainformação","competênciadec","indicadordeforadoprazo","unidadesaláriocódigo","valorsaláriofixo"
202301,3,31,314610,"G",4711302,-1,521110,101,6,20,44,3,1,0,1,31,0,0,0,1302.1,1,0,1,202301,0,5,1302.1
202301,3,31,314610,"F",4120400,1,717020,101,7,44,44,3,1,0,4,97,0,0,0,1381.6,1,0,1,202301,0,5,1381.6
202301,3,31,314610,"F",4120400,-1,715505,101,5,29,44,2,1,0,1,31,0,0,0,1786.46,1,0,1,202301,0,5,1786.46
202301,3,31,314610,"A",151201,-1,621005,101,7,56,44,6,1,2,3,31,0,0,0,2000,99,0,1,202301,0,5,2000
202301,3,31,314610,"C",2412100,1,951105,101,7,34,40,6,1,0,1,97,0,0,0,2021.87,1,0,1,202301,0,5,2021.87
202301,3,31,314610,"B",893200,1,517330,101,7,32,38.4,6,1,0,1,97,0,0,0,1600,1,0,1,202301,0,5,1600
202301,3,31,314610,"I",5611203,-1,421125,101,7,32,36,6,3,0,1,31,0,0,0,1355.98,1,0,1,202301,0,5,1355.98
202301,3,31,314610,"B",710301,-1,214705,101,9,32,40,1,3,0,1,31,0,0,0,14524.89,1,0,1,202301,0,5,14524.89
202301,3,31,314610,"F",4221903,1,782115,101,7,38,44,3,1,0,1,97,0,0,0,1985.33,1,0,1,202301,0,5,1985.33
202301,3,31,314610,"F",4399199,-1,715210,101,7,34,47.33,1,1,0,4,31,0,0,0,1943.13,1,0,1,202301,0,5,1943.13
202301,3,31,314610,"Q",8630504,-1,422110,101,7,37,40,3,3,0,1,31,0,0,0,1400,1,0,1,202301,0,5,1400
202301,3,31,314610,"F",4330499,-1,717020,101,5,55,44,3,1,0,1,43,0,0,0,1212,1,0,1,202301,0,5,1212
202301,3,31,314610,"G",4759899,1,411005,101,7,26,44,3,3,0,1,97,0,0,0,1450.7,1,0,1,202301,0,5,1450.7
202301,3,31,314610,"F",4211101,-1,782510,101,7,26,44,2,1,0,4,31,0,0,0,2502,1,0,1,202301,0,5,2502
202301,3,31,314610,"G",4783101,-1,521110,101,7,41,44,3,3,0,1,31,0,0,0,1318.04,1,0,1,202301,0,5,1318.04
202301,3,31,314610,"F",4299599,1,782510,101,3,42,44,3,1,0,4,97,0,0,0,2357.02,1,0,1,202301,0,5,2357.02
202301,3,31,314610,"I",5611203,-1,513435,101,7,24,44,3,1,0,1,31,0,0,0,1388,1,0,1,202301,0,5,1388
202301,3,31,314610,"Q",8610102,1,422105,101,7,38,44,1,3,0,1,97,0,0,0,1650,1,0,1,202301,0,5,1650
202301,3,31,314610,"F",4211101,-1,715525,101,5,49,44,3,1,0,4,31,0,0,0,1872,1,0,1,202301,0,5,1872
202301,3,31,314610,"G",4771701,-1,519110,101,7,23,44,6,3,0,1,31,0,0,0,1435.39,1,0,1,202301,0,5,1435.39
202301,3,31,314610,"F",4213800,-1,411010,101,9,22,44,2,3,0,1,31,0,0,0,1600,1,0,1,202301,0,5,1600
202301,3,31,314610,"N",8020001,1,411005,101,8,40,45,3,3,0,1,97,0,0,0,1320,1,0,1,202301,0,5,1320
202301,3,31,314610,"G",4712100,-1,848510,101,3,46,48,3,1,0,1,40,0,0,0,2400,1,0,1,202301,0,5,2400
202301,3,31,314610,"I",5510803,-1,513315,101,7,37,44,3,3,0,1,31,0,0,0,1382.5,1,0,1,202301,0,5,1382.5
202301,3,31,314610,"Q",8800600,-1,313120,101,7,25,40,6,1,0,1,40,0,0,0,2772.75,1,0,1,202301,0,5,2772.75
202301,3,31,314610,"G",4711302,-1,414110,101,7,23,44,3,1,0,1,31,0,0,0,1318.04,1,0,1,202301,0,5,1318.04
202301,3,31,314610,"G",4731800,1,521135,101,7,29,44,6,1,0,1,97,0,0,0,1408.59,1,0,1,202301,0,5,1408.59
202301,3,31,314610,"Q",8640202,1,422120,101,7,36,48,1,3,0,1,97,0,0,0,1302,1,0,1,202301,0,5,1302
202301,3,31,314610,"C",1091102,-1,521140,101,7,20,44,6,3,0,1,31,0,0,0,1302,1,0,1,202301,0,5,1302
202301,3,31,314610,"G",4711302,-1,421125,101,7,19,44,1,3,0,1,40,0,0,0,1318.04,1,0,1,202301,0,5,1318.04
202301,3,31,314610,"G",4789004,-1,521110,101,7,30,44,6,1,0,1,31,0,0,0,1318.04,1,0,1,202301,0,5,1318.04
202301,3,31,314610,"I",5611204,1,513420,101,7,25,44,6,3,0,1,97,0,0,0,1388,1,0,1,202301,0,5,1388
202301,3,31,314610,"F",4211101,1,717020,101,7,48,44,3,1,0,1,97,0,0,0,1381.6,1,0,1,202301,0,5,1381.6
202301,3,31,314610,"F",4213800,1,717020,101,5,52,44,3,1,0,1,97,0,0,0,1333.2,1,0,1,202301,0,5,1333.2
202301,3,31,314610,"F",4221903,1,715615,101,4,26,44,3,1,0,1,97,0,0,0,1272.4,1,0,1,202301,0,5,1272.4
202301,3,31,314610,"F",4221903,1,715615,101,7,23,44,3,1,0,1,97,0,0,0,1272.4,1,0,1,202301,0,5,1272.4
202301,3,31,314610,"F",4211101,1,717020,101,4,26,44,3,1,0,4,97,0,0,0,1302,1,0,1,202301,0,5,1302
202301,3,31,314610,"I",5611203,1,513505,101,7,30,44,1,3,0,1,97,0,0,0,1388,1,0,1,202301,0,5,1388
202301,3,31,314610,"B",710301,1,820105,101,9,37,44,1,3,0,1,97,0,0,0,13000,1,0,1,202301,0,5,13000
202301,3,31,314610,"F",4213800,-1,717020,101,5,28,44,3,1,0,1,31,0,0,0,1232.87,1,0,1,202301,0,5,1232.87
202301,3,31,314610,"F",4299599,-1,411005,101,7,22,44,3,3,0,4,40,0,0,0,2008.66,1,0,1,202301,0,5,2008.66
202301,3,31,314610,"F",4213800,-1,724205,101,7,34,44,2,1,0,1,31,0,0,0,2300,1,0,1,202301,0,5,2300
202301,3,31,314610,"G",4771701,-1,421125,101,7,31,41.56,6,3,0,1,40,0,0,0,0,1,0,1,202301,0,7,0
202301,3,31,314610,"F",4120400,1,717020,101,7,47,44,2,1,0,4,97,0,0,0,1381.6,1,0,1,202301,0,5,1381.6
202301,3,31,314610,"B",710301,1,239410,101,9,37,40,3,3,0,1,97,0,0,0,4304,1,0,1,202301,0,5,4304
202301,3,31,314610,"I",5510801,1,513405,101,7,18,48,1,1,0,1,97,0,0,0,1388,1,0,1,202301,0,5,1388
202301,3,31,314610,"G",4711302,-1,519905,101,7,22,44,4,3,0,1,40,0,0,0,1629,1,0,1,202301,0,5,1629
202301,3,31,314610,"G",4744099,-1,411005,101,7,45,44,2,3,0,1,31,0,0,0,1630.82,1,0,1,202301,0,5,1630.82
202301,3,31,314610,"B",710301,-1,712120,101,9,32,44,3,1,0,1,40,0,0,0,4848.6,1,0,1,202301,0,5,4848.6
202301,3,31,314610,"M",7112000,-1,717020,101,7,26,44,6,3,0,1,40,0,0,0,1212,1,0,1,202301,0,5,1212
202301,3,31,314610,"B",899199,1,715615,101,7,38,44,6,1,0,1,97,0,0,0,3808,1,0,1,202301,0,5,3808
202301,3,31,314610,"B",710301,-1,951105,101,7,35,40,3,1,0,1,31,0,0,0,2825,1,0,1,202301,0,5,2825
202301,3,31,314610,"G",4712100,1,421125,101,7,21,44,6,3,0,1,97,0,0,0,1318.04,1,0,1,202301,0,5,1318.04
202301,3,31,314610,"M",7112000,-1,715615,101,7,30,44,1,1,0,1,40,0,0,0,1600,1,0,1,202301,0,5,1600
202301,3,31,314610,"G",4721102,-1,521140,101,7,28,44,2,3,0,1,40,0,0,0,1302,1,0,1,202301,0,5,1302
202301,3,31,314610,"G",4721104,1,513505,101,7,36,43.5,1,3,0,1,97,0,0,0,1338,1,0,1,202301,0,5,1338
202301,3,31,314610,"F",4211101,1,782310,101,7,23,44,3,1,0,4,97,0,0,0,2347,1,0,1,202301,0,5,2347
202301,3,31,314610,"G",4724500,-1,521125,101,6,24,44,6,1,0,1,31,0,0,0,1335.14,1,0,1,202301,0,5,1335.14
