"competênciamov","região","uf","município","seção","subclasse","saldomovimentação","cbo2002ocupação","categoria","graudeinstrução","idade","horascontratuais","raçacor","sexo","tipoempregador","tipoestabelecimento","tipomovimentação","tipodedeficiência","indtrabintermitente","indtrabparcial","salário","tamestabjan","indicadoraprendiz","origemdainformação","competênciadec","indicadordeforadoprazo","unidadesaláriocódigo","valorsaláriofixo"
202307,3,31,314610,"I",5510801,-1,513115,101,7,35,42,2,3,0,1,31,0,0,0,1800,5,0,1,202307,0,5,1800
202307,3,31,314610,"F",4213800,-1,715725,101,3,33,44,3,1,0,1,31,0,0,0,1900,9,0,1,202307,0,5,1900
202307,3,31,314610,"F",4120400,-1,717020,101,7,19,44,6,3,0,4,31,0,0,0,1381.6,1,0,1,202307,0,5,1381.6
202307,3,31,314610,"H",4911600,1,911305,101,7,37,40,3,3,0,1,97,0,0,0,2046.08,1,0,1,202307,0,5,2046.08
202307,3,31,314610,"F",4211101,-1,715545,101,7,41,44,3,1,0,4,31,0,0,0,1872,1,0,1,202307,0,5,1872
202307,3,31,314610,"B",899199,-1,724315,101,7,34,44,6,1,0,1,31,0,0,0,2154.96,6,0,1,202307,0,5,2154.96
202307,3,31,314610,"N",8299799,1,521135,101,7,38,36,6,1,0,1,97,0,0,0,1408.59,1,0,1,202307,0,5,1408.59
202307,3,31,314610,"G",4781400,-1,761410,101,8,41,44,6,3,0,1,43,0,0,0,1330,5,0,1,202307,0,5,1330
202307,3,31,314610,"G",4711302,1,521110,101,4,19,16,6,3,0,1,97,0,0,0,1417.94,5,0,1,202307,0,5,1417.94
202307,3,31,314610,"G",4744002,-1,414110,101,7,27,44,6,1,0,1,31,0,0,0,1416,4,0,1,202307,0,5,1416
202307,3,31,314610,"F",4399199,1,715210,101,7,68,44,6,1,0,1,97,0,0,0,2169.2,1,0,1,202307,0,5,2169.2
202307,3,31,314610,"B",899199,1,514320,101,5,50,44,6,3,0,1,97,0,0,0,1487,5,0,1,202307,0,5,1487
202307,3,31,314610,"K",6550200,1,223905,101,9,37,30,3,3,0,1,97,0,0,0,3228.06,7,0,1,202307,0,5,3228.06
202307,3,31,314610,"F",4211101,-1,717020,101,5,25,44,3,1,0,4,31,0,0,0,1381.6,1,0,1,202307,0,5,1381.6
202307,3,31,314610,"F",4211101,1,715110,101,6,19,44,3,1,0,4,97,0,0,0,1600,1,0,1,202307,0,5,1600
202307,3,31,314610,"F",4211101,-1,715125,101,5,42,44,3,1,0,4,31,0,0,0,3229,1,0,1,202307,0,5,3229
