"competênciamov","região","uf","município","seção","subclasse","saldomovimentação","cbo2002ocupação","categoria","graudeinstrução","idade","horascontratuais","raçacor","sexo","tipoempregador","tipoestabelecimento","tipomovimentação","tipodedeficiência","indtrabintermitente","indtrabparcial","salário","tamestabjan","indicadoraprendiz","origemdainformação","competênciadec","indicadordeforadoprazo","unidadesaláriocódigo","valorsaláriofixo"
202306,3,31,314610,"G",4789004,-1,411005,101,9,40,44,6,3,0,1,40,0,0,0,1327.68,2,0,1,202306,0,5,1327.68
202306,3,31,314610,"M",7120100,1,818110,101,7,20,44,6,1,0,1,97,0,0,0,1846,5,0,1,202306,0,5,1846
202306,3,31,314610,"F",4120400,-1,715210,101,6,33,44,3,1,0,4,31,0,0,0,1786.46,1,0,1,202306,0,5,1786.46
202306,3,31,314610,"G",4711302,-1,521125,101,2,28,48,3,1,0,1,43,0,0,0,1582,5,0,1,202306,0,5,1582
202306,3,31,314610,"I",5611204,1,513205,101,7,21,44,6,3,0,1,97,0,0,0,1376.5,5,0,1,202306,0,5,1376.5
202306,3,31,314610,"Q",8800600,1,316305,101,7,44,40,2,1,0,1,97,0,0,0,1794.9,7,0,1,202306,0,5,1794.9
202306,3,31,314610,"F",4211101,1,715315,101,3,40,44,3,1,0,4,97,0,0,0,1872,1,0,1,202306,0,5,1872
202306,3,31,314610,"M",7112000,-1,313315,101,7,19,44,3,1,0,1,31,0,0,0,1320,2,0,1,202306,0,5,1320
202306,3,31,314610,"G",4711302,-1,421125,101,7,24,44,3,3,0,1,31,0,0,0,1426.73,7,0,1,202306,0,5,1426.73
202306,3,31,314610,"G",4711302,1,421125,101,4,22,44,2,3,0,1,97,0,0,0,1450,7,0,1,202306,0,5,1450
202306,3,31,314610,"F",4211101,1,715210,101,1,43,44,3,1,0,4,97,0,0,0,1872,1,0,1,202306,0,5,1872
202306,3,31,314610,"G",4711302,-1,514320,101,4,31,44,2,3,0,1,31,0,0,0,1324.74,7,0,1,202306,0,5,1324.74
202306,3,31,314610,"G",4711302,-1,421125,101,6,24,44,2,3,0,1,40,0,0,0,1450,7,0,1,202306,0,5,1450
202306,3,31,314610,"G",4731800,1,521135,101,7,22,44,6,1,0,1,97,0,0,0,1440.36,3,0,1,202306,0,5,1440.36
202306,3,31,314610,"F",4211101,1,715125,101,6,38,44,3,1,0,4,97,0,0,0,3058,1,0,1,202306,0,5,3058
202306,3,31,314610,"F",4391600,-1,715210,101,2,41,44,3,1,0,4,31,0,0,0,1890.5,7,0,1,202306,0,5,1890.5
202306,3,31,314610,"G",4711302,1,521125,101,5,25,44,2,1,0,1,97,0,0,0,1435.45,7,0,1,202306,0,5,1435.45
202306,3,31,314610,"C",2330305,1,717020,101,7,40,44,3,1,0,1,97,0,0,0,1619.53,6,0,1,202306,0,5,1619.53
202306,3,31,314610,"C",2441501,-1,311105,101,7,33,44,2,1,0,1,40,0,0,0,8.64,7,0,1,202306,0,5,8.64
202306,3,31,314610,"F",4211101,1,414105,101,7,20,44,3,3,0,4,97,0,0,0,2070,1,0,1,202306,0,5,2070
202306,3,31,314610,"B",710301,-1,712120,101,7,25,44,2,1,0,1,31,0,0,0,2002,9,0,1,202306,0,1,9.1
