competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo
202305,3,31,314610,F,4213800,-1,717020,101,7,27,44,3,1,0,4,31,0,0,0,979.55,1,0,1,202305,0,5,1421.2
202305,3,31,314610,F,4120400,1,414205,101,7,29,44,3,3,0,4,97,0,0,0,9182.18,1,0,1,202305,0,5,1485
202305,3,31,314610,G,4530703,-1,521110,101,7,25,44,3,1,0,1,31,0,0,0,8993.22,2,0,1,202305,0,5,1302
202305,3,31,314610,F,4211101,-1,717020,101,2,29,44,3,1,0,4,60,0,0,0,8969.72,1,0,1,202305,0,5,1381.6
202305,3,31,314610,I,5611203,-1,513505,101,7,46,44,1,3,0,1,31,0,0,0,8.64,4,0,1,202305,0,5,1338
202305,3,31,314610,G,4711302,-1,411005,101,7,22,44,3,1,0,1,40,0,0,0,8.64,6,0,1,202305,0,5,1417.85
202305,3,31,314610,F,4313400,-1,517330,101,4,37,44,3,1,0,4,31,0,0,0,8.25,3,0,1,202305,0,5,1381.6
202305,3,31,314610,S,9601701,1,516345,101,7,39,44,3,3,0,1,97,0,0,0,790.55,4,0,1,202305,0,5,1320
202305,3,31,314610,J,6311900,-1,374405,101,9,26,32,1,3,0,1,31,0,0,0,762.27,8,0,1,202305,0,5,6541.17
202305,3,31,314610,F,4221902,-1,715125,101,7,31,44,6,1,0,1,31,0,0,0,730.8,7,0,1,202305,0,1,11.82
202305,3,31,314610,I,5611203,-1,513505,101,7,42,44,3,3,0,1,43,0,0,0,729.6,3,0,1,202305,0,5,1338
202305,3,31,314610,S,9491000,-1,334105,101,7,23,30,3,3,0,1,43,0,0,0,7102.22,4,0,1,202305,0,5,1026.04
202305,3,31,314610,F,4213800,-1,919205,101,7,44,44,6,1,0,1,40,0,0,0,7097.14,5,0,1,202305,0,5,1527.91
202305,3,31,314610,C,1091102,1,411010,101,7,21,44,6,3,0,1,97,0,0,0,7.42,2,0,1,202305,0,5,1320
202305,3,31,314610,Q,8610102,-1,411005,103,7,19,20,1,1,0,1,40,0,0,0,7.15,8,1,1,202305,0,5,642.31
202305,3,31,314610,F,4299599,-1,717020,101,7,39,44,3,1,0,4,43,0,0,0,7.15,1,0,1,202305,0,5,1381.6
202305,3,31,314610,I,5510801,-1,513505,101,6,18,44,6,3,0,1,31,0,0,0,7.15,4,0,1,202305,0,5,1600
202305,3,31,314610,G,4711302,1,521125,101,7,32,44,3,3,0,1,97,0,0,0,7.15,7,0,1,202305,0,5,1450
202305,3,31,314610,C,2391503,-1,862150,101,5,31,44,3,1,0,1,40,0,0,0,685.83,5,0,1,202305,0,1,6.49
202305,3,31,314610,G,4784900,-1,519110,101,7,30,44,6,1,0,1,31,0,0,0,664.2,3,0,1,202305,0,5,1320
202305,3,31,314610,F,4391600,1,312320,101,7,18,44,6,1,0,4,97,0,0,0,662.84,7,0,1,202305,0,5,1448.73
202305,3,31,314610,F,4211101,1,715125,101,3,27,44,3,1,0,4,97,0,0,0,6541.17,1,0,1,202305,0,5,3229
202305,3,31,314610,F,4391600,1,351605,101,7,43,44,6,1,0,4,97,0,0,0,642.31,7,0,1,202305,0,5,4024.19
202305,3,31,314610,G,4722902,-1,513405,101,7,19,48,6,3,0,1,40,0,0,0,642.31,3,0,1,202305,0,5,1388
202305,3,31,314610,B,710302,1,784205,101,7,20,44,3,1,0,1,97,0,0,0,6362.4,5,0,1,202305,0,5,1330
202305,3,31,314610,B,710301,1,911305,101,8,37,40,1,1,0,1,97,0,0,0,634.69,10,0,1,202305,0,5,2713
202305,3,31,314610,H,4930201,-1,782510,101,7,30,44,6,1,0,1,31,0,0,0,619.99,6,0,1,202305,0,5,2365.83
202305,3,31,314610,I,5611201,1,513205,101,7,36,44,6,1,0,1,97,0,0,0,619.99,4,0,1,202305,0,5,1900
202305,3,31,314610,B,710301,1,711205,101,7,40,44,4,1,0,1,97,0,0,0,619.99,9,0,1,202305,0,1,11.61
202305,3,31,314610,J,6190601,-1,524105,101,7,19,44,3,3,0,1,43,0,0,0,619.99,2,0,1,202305,0,5,1450
202305,3,31,314610,G,4781400,-1,521140,101,9,50,44,6,3,0,1,31,0,0,0,619.99,1,0,1,202305,0,5,1318.04
202305,3,31,314610,I,5611201,-1,513605,101,7,56,44,3,1,0,1,40,0,0,0,619.99,2,0,1,202305,0,5,1388
202305,3,31,314610,F,4391600,-1,710205,101,7,58,44,6,1,0,4,40,0,0,0,619.99,7,0,1,202305,0,5,4424
202305,3,31,314610,F,4211101,-1,991105,101,6,29,44,2,1,0,4,31,0,0,0,619.99,1,0,1,202305,0,5,1381.6
202305,3,31,314610,F,4211101,-1,717020,101,7,34,44,2,1,0,4,31,0,0,0,619.99,1,0,1,202305,0,5,1381.6
