"competênciamov","região","uf","município","seção","subclasse","saldomovimentação","cbo2002ocupação","categoria","graudeinstrução","idade","horascontratuais","raçacor","sexo","tipoempregador","tipoestabelecimento","tipomovimentação","tipodedeficiência","indtrabintermitente","indtrabparcial","salário","tamestabjan","indicadoraprendiz","origemdainformação","competênciadec","indicadordeforadoprazo","unidadesaláriocódigo","valorsaláriofixo"
202303,3,31,314610,"F",4330499,-1,517420,101,7,30,44,3,1,0,1,43,0,0,0,1411,4,0,1,202303,0,5,1411
202303,3,31,314610,"Q",8800600,1,352205,101,10,32,40,1,1,0,1,97,0,0,0,4656.94,7,0,1,202303,0,5,4656.94
202303,3,31,314610,"C",2330305,1,782505,101,7,41,44,1,1,0,1,97,0,0,0,2395.35,5,0,1,202303,0,5,2395.35
202303,3,31,314610,"F",4211101,1,717020,101,3,25,44,3,3,0,4,97,0,0,0,1381.6,1,0,1,202303,0,5,1381.6
202303,3,31,314610,"G",4712100,-1,141415,101,9,66,48,1,1,0,1,31,0,0,0,2000,4,0,1,202303,0,5,2000
202303,3,31,314610,"F",4211101,1,715125,101,4,43,44,3,1,0,4,97,0,0,0,2832.88,1,0,1,202303,0,5,2832.88
202303,3,31,314610,"F",4211101,1,717020,101,4,43,44,3,1,0,4,97,0,0,0,1542,1,0,1,202303,0,5,1542
202303,3,31,314610,"F",4211101,1,301110,101,7,23,47.78,3,1,0,1,97,0,0,0,1501.54,7,0,1,202303,0,5,1501.54
202303,3,31,314610,"F",4211101,1,715125,101,5,50,47.78,3,1,0,1,97,0,0,0,3574.93,7,0,1,202303,0,5,3574.93
202303,3,31,314610,"F",4211101,1,919110,101,5,50,44,3,1,0,4,97,0,0,0,1872,1,0,1,202303,0,5,1872
202303,3,31,314610,"G",4711302,-1,784105,101,6,17,44,3,3,0,1,43,0,0,0,1415.87,7,0,1,202303,0,5,1415.87
202303,3,31,314610,"J",6190601,-1,524105,101,7,21,16,3,3,0,1,31,0,0,0,739.8,2,0,1,202303,0,5,739.8
202303,3,31,314610,"F",4120400,1,717020,101,7,24,44,3,1,0,1,97,0,0,0,1381.6,5,0,1,202303,0,5,1381.6
202303,3,31,314610,"F",4211101,1,717020,101,7,24,44,3,1,0,4,97,0,0,0,1381.6,1,0,1,202303,0,5,1381.6
202303,3,31,314610,"F",4120400,1,715210,101,4,30,44,3,1,0,1,97,0,0,0,1786.46,5,0,1,202303,0,5,1786.46
202303,3,31,314610,"I",5611203,1,514320,101,7,44,42,6,3,0,1,97,0,0,0,1355.98,4,0,1,202303,0,5,1355.98
202303,3,31,314610,"C",2412100,-1,715125,101,7,41,36,6,1,0,1,31,0,0,0,1740.8,7,0,1,202303,0,5,1740.8
202303,3,31,314610,"F",4211101,1,312320,101,7,40,44,3,1,0,4,97,0,0,0,1542,1,0,1,202303,0,5,1542
