"competênciamov","região","uf","município","seção","subclasse","saldomovimentação","cbo2002ocupação","categoria","graudeinstrução","idade","horascontratuais","raçacor","sexo","tipoempregador","tipoestabelecimento","tipomovimentação","tipodedeficiência","indtrabintermitente","indtrabparcial","salário","tamestabjan","indicadoraprendiz","origemdainformação","competênciadec","indicadordeforadoprazo","unidadesaláriocódigo","valorsaláriofixo"
202211,3,31,314610,"F",4211101,-1,715210,101,4,36,44,3,1,0,4,31,0,0,0,1776.99,1,0,1,202211,0,5,1776.99
202211,3,31,314610,"C",2062200,1,782510,101,7,33,44,1,1,0,1,97,0,0,0,1845,5,0,1,202211,0,5,1845
202211,3,31,314610,"F",4299599,1,715525,101,7,26,44,3,1,0,4,97,0,0,0,1700,1,0,1,202211,0,5,1700
202211,3,31,314610,"G",4729699,-1,252105,101,9,54,51,3,3,0,1,31,0,0,0,1784,2,0,1,202211,0,5,1784
202211,3,31,314610,"F",4299599,1,391210,101,7,43,44,6,1,0,4,97,0,0,0,3325.46,6,0,1,202211,0,5,3325.46
202211,3,31,314610,"B",710302,-1,999999,101,9,43,44,1,3,0,1,40,0,0,9,13056,10,0,1,202211,0,5,13056
202211,3,31,314610,"G",4711302,-1,421125,101,7,36,44,2,3,0,1,32,0,0,0,1349,7,0,1,202211,0,5,1349
202211,3,31,314610,"B",710302,1,351605,101,7,40,40,3,3,0,1,97,0,0,0,5381,10,0,1,202211,0,5,5381
202211,3,31,314610,"C",2441501,-1,813125,101,6,36,44,3,1,0,1,31,0,0,0,2074.6,8,0,1,202211,0,1,9.43
202211,3,31,314610,"F",4211101,-1,715525,101,2,40,44,3,1,0,4,31,0,0,0,1776.99,1,0,1,202211,0,5,1776.99
202211,3,31,314610,"F",4120400,1,951105,101,6,26,44,3,1,0,1,97,0,0,0,2100,9,0,1,202211,0,5,2100
202211,3,31,314610,"I",5611201,1,513605,101,4,19,44,3,1,0,1,97,0,0,0,1400,4,0,1,202211,0,5,1400
202211,3,31,314610,"H",4929902,1,782310,101,7,62,44,3,1,0,1,97,0,0,0,2000,3,0,1,202211,0,5,2000
202211,3,31,314610,"F",4211101,-1,999999,101,4,31,44,6,1,0,4,31,0,0,0,1872,1,0,1,202211,0,5,1872
202211,3,31,314610,"H",4930201,1,782510,101,7,34,44,6,1,0,1,97,0,0,0,2365.83,6,0,1,202211,0,5,2365.83
202211,3,31,314610,"F",4211101,-1,717020,101,7,37,44,3,1,0,4,31,0,0,0,1381.6,8,0,1,202211,0,5,1381.6
202211,3,31,314610,"F",4299599,1,715210,101,5,18,44,3,1,0,1,97,0,0,0,1440,4,0,1,202211,0,5,1440
202211,3,31,314610,"F",4211101,-1,717020,101,8,22,44,3,1,0,4,31,0,0,0,1381.6,1,0,1,202211,0,5,1381.6
202211,3,31,314610,"F",4299599,1,717020,101,4,21,44,6,1,0,4,97,0,0,0,1248.11,6,0,1,202211,0,5,1248.11
202211,3,31,314610,"C",2062200,1,784105,101,7,22,44,3,1,0,1,97,0,0,0,1408,5,0,1,202211,0,5,1408
202211,3,31,314610,"F",4120400,1,717020,101,7,30,44,3,1,0,1,97,0,0,0,1361.08,9,0,1,202211,0,5,1361.08
202211,3,31,314610,"G",4711302,-1,521125,101,7,22,44,1,1,0,1,40,0,0,0,1416.16,7,0,1,202211,0,5,1416.16
202211,3,31,314610,"F",4211101,-1,715505,101,4,19,44,3,1,0,4,31,0,0,0,1872,8,0,1,202211,0,5,1872
202211,3,31,314610,"F",4211101,-1,414205,101,7,23,44,3,3,0,4,31,0,0,0,1429,1,0,1,202211,0,5,1429
