"competênciamov","região","uf","município","seção","subclasse","saldomovimentação","cbo2002ocupação","categoria","graudeinstrução","idade","horascontratuais","raçacor","sexo","tipoempregador","tipoestabelecimento","tipomovimentação","tipodedeficiência","indtrabintermitente","indtrabparcial","salário","tamestabjan","indicadoraprendiz","origemdainformação","competênciadec","indicadordeforadoprazo","unidadesaláriocódigo","valorsaláriofixo"
202309,3,31,314610,"C",2330305,-1,717025,101,7,29,"44",3,1,0,1,31,0,0,0,"1619.53",6,0,1,202309,0,5,"1619.53"
202309,3,31,314610,"B",710302,-1,717020,101,7,36,"44",3,1,0,1,31,0,0,0,"1410",5,0,1,202309,0,5,"1410"
202309,3,31,314610,"F",4211101,-1,717020,101,7,32,"44",3,1,0,4,31,0,0,0,"1381.6",1,0,1,202309,0,5,"1381.6"
202309,3,31,314610,"I",5611201,1,513405,101,7,54,"44",6,1,0,1,97,0,0,0,"2640",4,0,1,202309,0,5,"2640"
202309,3,31,314610,"I",5620101,-1,141510,101,4,37,"44",3,3,0,1,40,0,0,0,"2648.25",6,0,1,202309,0,5,"2648.25"
202309,3,31,314610,"C",1099699,-1,784205,101,7,25,"44",1,1,0,1,40,0,0,0,"1980",5,0,1,202309,0,5,"1980"
202309,3,31,314610,"S",9601701,-1,516345,101,5,21,"44",3,3,0,1,31,0,0,0,"1468.75",4,0,1,202309,0,5,"1468.75"
202309,3,31,314610,"I",5611205,-1,521140,101,7,40,"36",6,3,0,1,31,0,0,0,"1323",2,0,1,202309,0,1,"7.3499999"
202309,3,31,314610,"F",4211101,1,715545,101,7,32,"44",3,1,0,1,97,0,0,0,"1929.12",1,0,1,202309,0,5,"1929.12"
202309,3,31,314610,"F",4213800,-1,717020,101,3,39,"44",3,1,0,1,43,0,0,0,"1450",7,0,1,202309,0,5,"1450"
202309,3,31,314610,"C",3312102,1,351605,101,7,46,"40",6,3,0,1,97,0,0,0,"4011",1,0,1,202309,0,5,"4011"
202309,3,31,314610,"C",2330305,1,782505,101,7,24,"44",3,1,0,1,97,0,0,0,"2395.3501",5,0,1,202309,0,5,"2395.3501"
202309,3,31,314610,"I",5611201,1,513435,101,6,18,"44",1,1,0,1,97,0,0,0,"1430",4,0,1,202309,0,5,"1430"
